"time","median","q025","q975","variable"
0,3,3,3,"I2"
1,3.96005866397885,2.44196151813249,7.08083925113068,"I2"
2,5.09165382467931,1.94381966665672,16.2572331787682,"I2"
3,6.37944335458181,1.5135856423647,36.304859544752,"I2"
4,7.79322096098084,1.15325408434221,78.814836629509,"I2"
5,9.27285643421202,0.860082340990474,166.09746596248,"I2"
6,10.7828226042474,0.628026256245923,338.747902733165,"I2"
7,12.251968510483,0.449116233550898,664.409904906198,"I2"
8,13.1242870701387,0.307213757860738,888.781194857181,"I2"
9,13.4947972124238,0.198052745561763,1422.86202445234,"I2"
10,13.1977647882281,0.125004555374929,2031.96652113716,"I2"
11,12.2443280930326,0.0687413084467167,2148.59411959756,"I2"
12,11.6172673477747,0.0352721458416364,2670.15115699797,"I2"
13,10.8304005049802,0.0139879833692868,2772.96505061903,"I2"
14,8.79204239476847,0.00701397132394649,2274.07935567849,"I2"
15,7.10078672580001,0.00336853607979482,2087.07255386823,"I2"
16,5.5544422530018,0.00133116463532489,2252.68175731533,"I2"
17,3.86808405891936,0.000499505511852445,1901.32629563513,"I2"
18,2.65091984287085,0.000179724808368859,1252.49977851105,"I2"
19,1.72470806138893,6.26526855549937e-05,1126.4964187622,"I2"
20,1.23693232639199,2.07970567209354e-05,993.46467993401,"I2"
21,0.874291138820113,7.06778599833061e-06,726.973716442879,"I2"
22,0.641209047852404,2.30171063238787e-06,609.698158178504,"I2"
23,0.464909939097476,7.59314169287663e-07,514.439019484208,"I2"
24,0.292893683247758,2.14675219557886e-07,421.966811208435,"I2"
25,0.18866670321364,8.51749172856327e-08,353.545636453388,"I2"
26,0.117646058536223,3.99959341084125e-08,294.479645737871,"I2"
27,0.0698891583889679,8.37863797343557e-09,241.513603547828,"I2"
28,0.0424252040324139,4.3625027604703e-09,192.412793695368,"I2"
29,0.0258817876623289,9.6681896483895e-10,151.692329775539,"I2"
30,0.0159668720574346,4.74265086833266e-10,117.370418868725,"I2"
31,0.00962635283481854,1.53809287053031e-10,89.3126303581648,"I2"
32,0.00574009608583795,9.74095447938262e-11,67.1148767003979,"I2"
33,0.00360369559656422,-8.64198310597308e-11,49.5856160216795,"I2"
34,0.00223976316783108,-8.3240921684839e-11,33.9927044421,"I2"
35,0.00137515152540346,-8.00389735867629e-10,23.0137596980879,"I2"
36,0.000807055449493765,-1.25936525271821e-12,15.7172219932898,"I2"
37,0.000454334984985229,-2.455953659693e-10,10.9373915432584,"I2"
38,0.000243366020691372,-2.78294093794292e-12,7.51105524887937,"I2"
39,0.00013504771571858,-3.31953721211413e-11,5.09143756001609,"I2"
40,7.34001084929e-05,-8.69620282461613e-11,3.40741937554905,"I2"
41,3.76887775670803e-05,-1.89677475116146e-09,2.22602912346798,"I2"
42,1.91877876132976e-05,-1.26430268463308e-09,1.43048901065668,"I2"
43,9.68550578962063e-06,-5.44399509944576e-11,0.90917297524233,"I2"
44,4.87941995851199e-06,-5.73024869517059e-10,0.571587966884903,"I2"
45,2.55531291689253e-06,-1.09678815148674e-10,0.369131263256596,"I2"
46,1.36238324474603e-06,-3.35425012090208e-10,0.236913208392107,"I2"
47,7.1980909471295e-07,-2.03717358392828e-10,0.145888886159388,"I2"
48,3.76909933386959e-07,-1.01750396045996e-10,0.0888104264837384,"I2"
49,1.9564429542646e-07,-2.48255238544057e-10,0.0534622526295107,"I2"
50,1.00244330683027e-07,-1.9952688350987e-10,0.0318303278431932,"I2"
51,4.84369363500122e-08,-1.18351755997388e-10,0.0187461674251897,"I2"
