"variable","peak_median","peak_time_median","peak_upper"
"S",99985,0,99985
"I1",809.167672295749,13,9190.80447436155
"I2",16.806688295024,9,3479.07187683824
"R1",17427.8246186528,39,63299.3417244354
"R2",337.316997117584,39,37003.369041359
"V",32298.4561307929,51,39204.5922789192
