"time","median","q025","q975","variable"
0,12,12,12,"I1"
1,19.6191496285684,11.6884004583682,33.8751739132308,"I1"
2,32.027155706777,11.3750102992723,95.3857080716825,"I1"
3,52.1740536330363,11.0605745056277,267.010871470295,"I1"
4,84.742312321741,10.7457971921978,736.164342336385,"I1"
5,137.035178367354,10.4313402955716,1950.06703299726,"I1"
6,213.829744311378,10.1178223313582,4674.88333520601,"I1"
7,337.602099955654,9.80581721977167,9053.74497672361,"I1"
8,524.989201474839,9.49585304554236,12444.3766523094,"I1"
9,796.685762640563,9.18841083354342,11111.8640120734,"I1"
10,1146.96849162338,8.88392339567182,9564.31012368175,"I1"
11,1561.59796136739,7.80097623514027,8050.03772406133,"I1"
12,1799.2461859384,7.36307385515947,6733.30906704555,"I1"
13,1956.75608649019,5.98347853112571,5972.96474820052,"I1"
14,1675.10088393794,3.04703555222079,5105.83550283845,"I1"
15,1443.45813273314,2.08448291828867,4270.40935277116,"I1"
16,1189.32194024802,1.82847255384008,3452.34745055155,"I1"
17,830.939526747985,1.1631172896638,3084.53352389848,"I1"
18,610.169969961918,0.557840695067716,2460.51650776349,"I1"
19,430.039900297204,0.237649080247998,2082.49468521222,"I1"
20,293.708674057867,0.0977767491306053,1904.17411008545,"I1"
21,219.5684343064,0.0401753234820967,1549.00961042406,"I1"
22,152.577512496377,0.016488232318442,1292.46806931289,"I1"
23,100.587238998762,0.00666698460466726,1098.00659112782,"I1"
24,62.1367533660647,0.00258099572350166,957.430904747354,"I1"
25,38.340812499907,0.000991861737887078,862.007785004046,"I1"
26,24.114177499593,0.000379373272832674,749.383542654491,"I1"
27,17.0601826611579,0.000144564677741752,634.935652913901,"I1"
28,10.6720507042095,5.5107007401291e-05,516.862028120961,"I1"
29,7.05421871565104,2.08985885093271e-05,422.512098449975,"I1"
30,4.43450916394598,7.92008696202633e-06,352.898375685606,"I1"
31,2.8254478402504,3.00171436686371e-06,300.46689661457,"I1"
32,1.85935065534018,1.13971125114572e-06,250.665537722063,"I1"
33,1.16985451777812,4.3410805223052e-07,224.436051204627,"I1"
34,0.734959210235631,1.61517415799398e-07,202.864984644938,"I1"
35,0.441026523972324,6.63714314624417e-08,181.716394813367,"I1"
36,0.277685531189263,3.11187168698708e-08,160.765873277653,"I1"
37,0.174785398130338,1.08953468672057e-08,141.220359365701,"I1"
38,0.10998195026518,4.42626286077311e-09,128.368156097943,"I1"
39,0.0730996720095589,4.13018146598766e-09,116.602453924877,"I1"
40,0.0459996702193458,3.87478886072836e-09,97.3489911736349,"I1"
41,0.0289377721897161,6.84979855037746e-10,80.2904557158093,"I1"
42,0.01819897051964,2.76675112230527e-10,68.2800856323956,"I1"
43,0.0114419497612903,1.09907098752357e-10,57.6557151293464,"I1"
44,0.00719158778077091,9.25093570455156e-11,46.4770366019673,"I1"
45,0.00451876005631507,1.406009426334e-11,37.4057247283856,"I1"
46,0.00283853416895402,4.96890919340952e-13,30.0359887846581,"I1"
47,0.00178257204178456,2.03784938951154e-11,24.1179741185003,"I1"
48,0.00111906345260143,-4.32566030905303e-12,19.6317482679072,"I1"
49,0.000702333436251389,1.40983834452865e-10,15.9650147578652,"I1"
50,0.000440605218873306,-8.25438595390188e-11,12.9722910717318,"I1"
51,0.0002763095545303,4.71185472351334e-12,10.5326424065107,"I1"
